tile,PMF UV c0 round0,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,read latancy,4x4 input cc,4x4 work cc,4x4 output cc,,tqitq input,tqitq work,tqitq out,,read latancy,8x8 input cc,8x8 work cc,8x8 output cc
x,CYCLE,,,,,,1,1,1,,1,1,1,,2,8,0,4,,4,14,1,,2,22,-14,16
y,MODE,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_0_a,0,2,10,10,14,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_0_b ,8,10,18,18,22,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_0_c ,16,18,26,26,30,,,,,,,,,,,,,,,,,,,,,,
PMF_F4_0,24,26,34,34,38,,,,,,,,,,,,,,,,,,,,,,
TQITQ_F4 ,,34,38,52,53,,,,,,,,,,,,,,,,,,,,,,
INTER_PK4 ,,53,54,55,56,,,,,,,,,,,,,,,,,,,,,,
SEL_PK4 ,,56,57,58,59,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_1_c ,72,74,82,82,86,,,,,,,,,,,,,,,,,,,,,,
TQITQ_M4 ,,82,86,100,101,,,,,,,,,,,,,,,,,,,,,,
INTER_PK4 ,,101,102,103,104,,,,,,,,,,,,,,,,,,,,,,
SEL_PK4 ,,104,105,106,107,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_2_c ,118,120,128,128,132,,,,,,,,,,,,,,,,,,,,,,
TQITQ_M4 ,,128,132,146,147,,,,,,,,,,,,,,,,,,,,,,
INTER_PK4 ,,147,148,149,150,,,,,,,,,,,,,,,,,,,,,,
SEL_PK4 ,,150,151,152,153,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_3_c ,164,166,174,174,178,,,,,,,,,,,,,,,,,,,,,,
TQITQ_F4 ,,174,178,192,193,,,,,,,,,,,,,,,,,,,,,,
INTER_PK4 ,,193,194,195,196,,,,,,,,,,,,,,,,,,,,,,
SEL_PK4 ,,196,197,198,199,,,,,,,,,,,,,,,,,,,,,,
dummy wait,,,199,206,207,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_1_a,32,34,42,42,46,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_1_b ,40,42,50,50,54,,,,,,,,,,,,,,,,,,,,,,
PMF_F4_1,48,50,58,58,62,,,,,,,,,,,,,,,,,,,,,,
PMF_F4_2,56,58,66,66,70,,,,,,,,,,,,,,,,,,,,,,
PMF_F4_3 ,64,66,74,74,78,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_2_a,80,82,90,90,94,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_2_b ,88,90,98,98,102,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_0_a,96,98,120,106,122,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_0_b ,126,128,150,136,152,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_3_a,148,150,158,158,162,,,,,,,,,,,,,,,,,,,,,,
PMF_M4_3_b ,156,158,166,166,170,,,,,,,,,,,,,,,,,,,,,,
