tile,PMF c1 round0-3,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,read latancy,32x32 input cc,32x32 work cc,32x32 output cc,,tqitq input,tqitq work,tqitq out,,read latancy,16x16 input cc,16x16 work cc,16x16 output cc
x,CYCLE,,,,,,1,1,1,,1,1,1,,2,78,-25,75,,4,19,1,,2,23,-9,16
y,MODE,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_a,0,2,25,16,32,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_b,23,25,48,39,55,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_c,46,48,71,62,78,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_a,69,71,149,124,199,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_b,147,149,227,202,277,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_1_a,225,227,250,241,257,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_1_b,248,250,273,264,280,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_1_c,271,273,296,287,303,,,,,,,,,,,,,,,,,,,,,,
PMF_F32_0,294,296,374,349,424,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_c,372,374,452,504,579,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_2_a,450,452,475,466,482,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_2_b,473,475,498,489,505,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_2_c,496,498,521,512,528,,,,,,,,,,,,,,,,,,,,,,
PMF_64M32_0,519,521,599,604,679,,,,,,,,,,,,,,,,,,,,,,
PMF_64M32_1,597,599,677,682,757,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_3_a,675,677,700,691,707,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_3_b,698,700,723,714,730,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_3_c,721,723,746,737,753,,,,,,,,,,,,,,,,,,,,,,
