tile,PMF c1 round0-3,,,,,,,,,,,,,,Yread latancy,32x32 input cc,32x32 work cc,32x32 output cc,,,,,,Yread latancy,16x16 input cc,16x16 work cc,16x16 output cc
x,CYCLE,,,,,,,,,,,,,,2,78,-26,64,,,,,,2,23,-10,16
y,MODE,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_a,0,2,25,15,31,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_b,23,25,48,38,54,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_c,46,48,71,79,95,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_a,69,71,149,123,187,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_b,147,149,227,201,265,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
