tile,PMF UV c1 round0,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,,,,,,tqitq4x4 input,tqitq work,tqitq out
x,CYCLE,,,,,,1,1,1,,1,1,4,,,,,,,0,12,0
y,MODE,,,,,,,,,,,,,,UVread latancy,16x16 input cc,16x16 work cc,16x16 output cc,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,2,110,-24,48,,,,
PMF_M8_0_a,0,2,35,66,74,,,,,,,,,,UVread latancy,8x8 input cc,8x8 work cc,8x8 output cc,,,,
PMF_M8_0_b,33,35,68,74,82,,,,,,,,,,2,33,-7,15,,,,
PMF_M16_0_a,66,68,178,154,202,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
