tile,PMF UV c1 round1-3,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,,,,,,tqitq4x4 input,tqitq work,tqitq out
x,CYCLE,,,,,,1,1,1,,1,1,4,,,,,,,0,12,0
y,MODE,,,,,,,,,,,,,,UVread latancy,16x16 input cc,16x16 work cc,16x16 output cc,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,2,110,-24,48,,,,
PMF_M8_1_b,220,222,255,274,282,,,,,,,,,,UVread latancy,8x8 input cc,8x8 work cc,8x8 output cc,,,,
PMF_F16_1,253,255,365,351,399,,,,,,,,,,2,33,-7,15,,,,
PMF_M16_0_a,363,365,475,515,563,,,,,,,,,,,,,,,,,
PMF_M8_2_b,473,475,508,501,516,,,,,,,,,,,,,,,,,
PMF_32M16_0,506,508,618,766,798,,,,,,,,,,,,,,,,,
PMF_32M16_1,616,618,728,798,830,,,,,,,,,,,,,,,,,
PMF_M8_3_b,726,728,761,754,769,,,,,,,,,,,,,,,,,
PMF_F8_2,,,,516,524,,,,,,,,,,,,,,,,,
PMF_F8_3,,,,769,777,,,,,,,,,,,,,,,,,
PMF_M8_3_a,,,,602,610,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
