tile,PMF C0 Round 1-3,,,,,,inter pk in,inter pk work,inter pk out,,sel pk in,sel pk work,sel pk out,,Yread latancy,8x8 input cc,8x8 work cc,8x8 output cc,,tqitq8x8 input,tqitq work,tqitq out,,Yread latancy,16x16 input cc,16x16 work cc,16x16 output cc
x,CYCLE,,,,,,1,1,1,,1,1,4,,2,8,4,4,,0,19,0,,2,23,-8,16
y,MODE,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_a,179,181,204,196,212,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_0_a,202,204,212,216,220,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_0_b ,210,212,220,224,228,,,,,,,,,,,,,,,,,,,,,,
PMF_F8_0 ,218,220,228,232,236,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_0_c ,226,228,236,240,244,,,,,,,,,,,,,,,,,,,,,,
TQITQ_M8 ,,240,240,259,259,,,,,,,,,,,,,,,,,,,,,,
INTER_PK8 ,,259,260,261,262,,,,,,,,,,,,,,,,,,,,,,
SEL_PK8 ,,262,263,264,268,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_1_c ,281,283,291,295,299,,,,,,,,,,,,,,,,,,,,,,
TQITQ_M8 ,,295,295,314,314,,,,,,,,,,,,,,,,,,,,,,
INTER_PK8 ,,314,315,316,317,,,,,,,,,,,,,,,,,,,,,,
SEL_PK8 ,,317,318,319,323,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_2_c ,323,325,333,337,341,,,,,,,,,,,,,,,,,,,,,,
TQITQ_M8 ,,337,337,356,356,,,,,,,,,,,,,,,,,,,,,,
INTER_PK8 ,,356,357,358,359,,,,,,,,,,,,,,,,,,,,,,
SEL_PK8 ,,359,360,361,365,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_3_c ,365,367,375,379,383,,,,,,,,,,,,,,,,,,,,,,
TQITQ_F8 ,,379,379,398,398,,,,,,,,,,,,,,,,,,,,,,
INTER_PK8 ,,398,399,400,401,,,,,,,,,,,,,,,,,,,,,,
SEL_PK8 ,,401,402,403,407,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_1_a,234,236,244,248,252,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_1_b ,242,244,252,256,260,,,,,,,,,,,,,,,,,,,,,,
PMF_F8_1 ,250,252,260,264,268,,,,,,,,,,,,,,,,,,,,,,
PMF_F8_2,305,307,315,319,323,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_2_a,289,291,299,303,307,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_2_b ,297,299,307,311,315,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_1_c,258,260,283,299,315,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_3_a,331,333,341,345,349,,,,,,,,,,,,,,,,,,,,,,
PMF_M8_3_b ,339,341,349,353,357,,,,,,,,,,,,,,,,,,,,,,
PMF_F8_3 ,347,349,357,361,365,,,,,,,,,,,,,,,,,,,,,,
