tile,PMF c1 round0-3,,,,,,,,,,,,,,Yread latancy,32x32 input cc,32x32 work cc,32x32 output cc,,,,,,Yread latancy,16x16 input cc,16x16 work cc,16x16 output cc
x,CYCLE,,,,,,,,,,,,,,2,110,8,64,,,,,,2,32,-16,24
y,MODE,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_a,0,2,34,89,113,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_0_b,32,34,66,113,137,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_a,64,66,176,184,248,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
