tile,PMF c1 round1-3,,,,,,,,,,,,,,Yread latancy,32x32 input cc,32x32 work cc,32x32 output cc,,,,,,Yread latancy,16x16 input cc,16x16 work cc,16x16 output cc
x,CYCLE,,,,,,,,,,,,,,2,78,-24,64,,,,,,2,23,-8,16
y,MODE,,,,,,,,,,,,,,,,,,,,,,,,,,
mode,pipe begin,input begin,input end,output begin,output end,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_1_b,225,227,250,242,258,,,,,,,,,,,,,,,,,,,,,,
PMF_F16_1,248,250,273,265,281,,,,,,,,,,,,,,,,,,,,,,
PMF_M32_0_c,271,273,351,402,466,,,,,,,,,,,,,,,,,,,,,,
PMF_64M32_0,349,351,429,469,533,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_2_b,427,429,452,444,460,,,,,,,,,,,,,,,,,,,,,,
PMF_F16_2,450,452,475,467,483,,,,,,,,,,,,,,,,,,,,,,
PMF_F32_0,473,475,553,593,657,,,,,,,,,,,,,,,,,,,,,,
PMF_64M32_1,551,553,631,674,738,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_3_b,629,631,654,646,662,,,,,,,,,,,,,,,,,,,,,,
PMF_F16_3,652,654,677,669,685,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_2_c,,,,483,499,,,,,,,,,,,,,,,,,,,,,,
PMF_M16_3_c,,,,685,701,,,,,,,,,,,,,,,,,,,,,,
