tile,PMF c0 round0,,,,
x,CYCLE,,,,
y,MODE,,,,
mode,pipe begin,input begin,input end,output begin,output end
PMF_M8_0_a,0,2,10,16,20
PMF_M8_0_b ,8,10,18,24,28
PMF_M8_0_c ,16,18,26,32,36
PMF_F8_0,24,26,34,40,44
TQITQ_F8 ,0,42,42,61,61
INTER_PK8 ,0,61,62,63,64
SEL_PK8 ,0,64,65,66,70
PMF_M8_1_c ,79,81,89,95,99
TQITQ_M8 ,0,97,97,116,116
INTER_PK8 ,0,116,117,118,119
SEL_PK8 ,0,119,120,121,125
PMF_M8_2_c ,125,127,135,141,145
TQITQ_M8 ,0,143,143,162,162
INTER_PK8 ,0,162,163,164,165
SEL_PK8 ,0,165,166,167,171
PMF_M8_3_c ,171,173,181,190,194
TQITQ_F8 ,0,189,189,208,208
INTER_PK8 ,0,208,209,210,211
SEL_PK8 ,0,211,212,213,217
dummy wait,0,0,217,224,225
PMF_M8_1_a,32,34,42,48,52
PMF_M8_1_b ,40,42,50,56,60
PMF_F8_1,48,50,58,64,68
PMF_F8_2,103,105,113,119,123
PMF_M8_2_a,87,89,97,103,107
PMF_M8_2_b ,95,97,105,111,115
PMF_F16_0,56,58,81,73,89
PMF_M8_3_a,133,135,143,149,153
PMF_M8_3_b ,141,143,151,157,161
PMF_F8_3 ,149,151,159,165,169
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
